Countries,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
China,299276,303256,311193,335649,335393,209477,222095,170772,138460,243340,135167,108080,121393,109919,85998,70777,68647,69957,74480,215910,1234750,1154620,1278050,1132330
France,337326,324413,325981,324997,369796,366402,394956,443775,395784,301674,363916,400413,301316,326472,384952,364321,417895,400150,426214,388819,351842,393621,396023,398424
Germany,975753,1026310,991695,1099140,1170880,1180240,1419890,1444290,1418540,1177730,1652470,1798500,1778150,1772520,1832000,1807480,1850680,1898500,1808930,1767361,1432460,1667700,1726740,1550530
Italy,389184,368761,407814,453088,472755,470487,506986,552772,440997,311166,487775,564079,489466,521248,583722,553079,610722,648293,662190,664841,528287,719486,716297,546987
Japan,941611,796094,848330,899215,971488,989418,1137420,1128710,1169440,621830,1020100,1070750,1103830,1014240,1125460,1070040,1102930,1073871,1282840,1091492,882636,1134670,1055750,1077760
Portugal,188701,170378,168535,186494,200367,225242,238483,221748,216588,150485,171647,116144,96224,74756,74504,76509,86409,102983,127352,104066,113937,93450,120347,127754
Spain,146529,171453,175115,168244,235154,228322,224420,334048,283373,166904,266795,277388,213770,298575,309169,258849,362439,340950,406331,362137,372731,383324,393918,404511
United Kingdom,171298,225323,162782,140942,124931,91875,127546,95038,97180,42670,72475,67511,63455,70720,62549,72818,76094,76489,70375,34265,27628,20991,14354,7717
United States,1581350,1240320,1547450,1279400,1548730,1870400,1796280,1490980,1312510,1024690,1212210,1354380,1573150,1538380,1795210,1929650,2017680,2124690,1844594,1873174,1901755,1930335,2259310,1765130
